gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
ENSMUSG00000023978	309.50335903	0.0675196	0.43317726	0.02785891	0.8290138
ENSMUSG00000030324	1881.77922741	0.09828616	0.53796704	0.01842954	0.6687507
ENSMUSG00000031450	195.24652216	1.24389	1.94196217	0.0009320593	0.1144103
ENSMUSG00000056055	582.61013659	0.0367582	0.30134219	0.05459635	0.999916
ENSMUSG00000025900	116.0176918	0.08567115	0.49901501	0.02170375	0.7104362
ENSMUSG00000026834	26.7141871	-0.004673906	0.08788618	0.4414694	0.999916
ENSMUSG00000025386	129.9629641	2.852145	2.08935098	0.0001461492	0.02391975
ENSMUSG00000059991	29.21412209	0.001556495	0.07722898	0.777487	0.999916
ENSMUSG00000056043	87.1516867	0.003762237	0.0939326	0.5434005	0.999916
ENSMUSG00000029491	211.64039506	0.02064294	0.19893278	0.09069556	0.999916
ENSMUSG00000035456	9.09593036	-0.00554476	0.10623202	0.4127545	0.999916
ENSMUSG00000062082	15.97229872	-0.006892128	0.12575422	0.3708666	0.999916
ENSMUSG00000020713	440.35889946	-0.003929767	0.09671816	0.5336259	0.999916
ENSMUSG00000053963	228.18179065	-0.0001051574	0.06760873	0.9845853	0.999916
ENSMUSG00000062372	37.01318022	0.01625992	0.15504431	0.1017124	0.999916
ENSMUSG00000068037	21.95734932	-0.008550411	0.11486216	0.2464537	0.999916
ENSMUSG00000020907	52.44323397	0.196745	0.7576986	0.007290576	0.4317746
ENSMUSG00000037446	90.17154289	0.07223225	0.41096356	0.01874562	0.6687507
ENSMUSG00000031789	109.3253255	0.01890632	0.17892296	0.09097165	0.999916
ENSMUSG00000078816	160.68021923	-0.00114682	0.07107565	0.8322359	0.999916
ENSMUSG00000057715	42.74479904	-0.002293136	0.07674621	0.6797191	0.999916
ENSMUSG00000025582	253.43066385	0.0003512584	0.06716249	0.9487858	0.999916
ENSMUSG00000026841	13.92858656	-0.005181566	0.09210078	0.406817	0.999916
ENSMUSG00000038255	38.96346013	0.0003107217	0.07553075	0.9543307	0.999916
ENSMUSG00000029335	40.52423822	-0.003783791	0.07434657	0.5123031	0.999916
ENSMUSG00000029151	57.95810517	-0.001367539	0.0785393	0.8048059	0.999916
ENSMUSG00000048087	36.23001355	-0.1475433	0.60969341	0.008022011	0.4376453
ENSMUSG00000029819	25.17020223	-0.0006606147	0.07290235	0.9024631	0.999916
ENSMUSG00000090675	14.01332817	0.0004010811	0.09878912	0.9508981	0.999916
ENSMUSG00000032174	128.66496183	0.000185545	0.07258696	0.9724732	0.999916
ENSMUSG00000050600	31.18950249	0.0005205305	0.06988672	0.9230716	0.999916
ENSMUSG00000074575	25.95003594	-0.001291777	0.07262946	0.8117136	0.999916
ENSMUSG00000046999	10.51878178	-0.001800214	0.0864112	0.7577651	0.999916
ENSMUSG00000048483	9.36679799	-0.002278347	0.08844346	0.7008002	0.999916
ENSMUSG00000027270	34.44651842	0.00127385	0.07296655	0.8142909	0.999916
ENSMUSG00000070570	749.40260454	0.02098905	0.18535041	0.07507861	0.999916
ENSMUSG00000024575	224.91921024	0.3911265	1.04315216	0.002885378	0.2575856
ENSMUSG00000059003	348.28287509	-0.003443492	0.07322009	0.5469605	0.999916
