gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
ENSMUSG00000000001	331.5047	0.0001182646	0.007145532	0.6402797	1
ENSMUSG00000000028	8.76117	2.581089e-05	0.007149639	0.7257291	1
ENSMUSG00000000031	0.201641	-6.024628e-06	0.00715001	0.5655667	1
ENSMUSG00000000037	19.32914	2.980966e-05	0.007149262	0.7741978	1
ENSMUSG00000000049	0.58401	5.809749e-06	0.007150006	0.6524195	1
ENSMUSG00000000056	440.1584	0.0001632522	0.007144084	0.5747757	1
ENSMUSG00000000058	106.535	-4.587075e-05	0.007147818	0.7958329	1
ENSMUSG00000000078	219.9411	0.0002015808	0.007147133	0.3206577	1
ENSMUSG00000000085	507.9257	-0.0001812352	0.007147301	0.3576212	1
ENSMUSG00000000088	497.3212	-5.346512e-05	0.007145905	0.8253848	1
ENSMUSG00000000093	8.814231	-1.529672e-05	0.007149721	0.8143755	1
ENSMUSG00000000094	5.933413	-3.519218e-05	0.007149922	0.3406513	1
ENSMUSG00000000120	42.39219	4.008575e-05	0.007149533	0.6301398	1
ENSMUSG00000000125	23.38572	-2.073972e-05	0.007149085	0.8574339	1
ENSMUSG00000000126	5.727988	-2.514266e-05	0.007149884	0.5651243	1
ENSMUSG00000000127	292.018	-2.051146e-05	0.007145908	0.9325243	1
ENSMUSG00000000131	969.7611	-0.0003329702	0.007141568	0.3373973	1
ENSMUSG00000000134	217.9989	0.0001139807	0.007145951	0.6362064	1
ENSMUSG00000000142	212.6293	4.121518e-05	0.00714513	0.8760103	1
ENSMUSG00000000148	198.414	-0.0005342197	0.007145374	0.03799449	1
ENSMUSG00000000149	891.5251	-9.601843e-05	0.007144694	0.727602	1
ENSMUSG00000000154	3.913463	-7.973715e-05	0.007149841	0.1126295	1
ENSMUSG00000000159	2.973638	-4.942563e-05	0.007149923	0.1785814	1
ENSMUSG00000000167	13.18503	6.549279e-05	0.007149572	0.4119552	1
ENSMUSG00000000168	727.0469	-0.0001390403	0.007142863	0.6633867	1
ENSMUSG00000000171	456.3793	3.863254e-05	0.007142452	0.9063754	1
ENSMUSG00000000182	3.072556	-3.378618e-05	0.00714992	0.3665766	1
ENSMUSG00000000184	347.4887	6.152469e-05	0.007148442	0.6817664	1
ENSMUSG00000000194	413.3107	-0.0001813864	0.007142034	0.590866	1
