gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
ENSMUSG00000000001	267.8151	0.0002649627	0.010190971	0.6498335	0.9984822
ENSMUSG00000000028	9.293071	-0.0007960496	0.027328564	0.2414682	0.9984822
ENSMUSG00000000031	0.1428347	-0.001584983	0.113857482	0.5301657	NA
ENSMUSG00000000037	14.61473	0.0004418245	0.018106453	0.4282617	0.9984822
ENSMUSG00000000049	0.4140432	0.0002737197	0.092000632	0.9000108	NA
ENSMUSG00000000056	362.5131	8.931402e-05	0.009234557	0.873971	0.9984822
ENSMUSG00000000058	93.70221	-0.001187923	0.019693371	0.1402566	0.9805731
ENSMUSG00000000078	188.1649	-0.0003911244	0.013125977	0.5172424	0.9984822
ENSMUSG00000000085	414.9508	-0.000463134	0.012984571	0.4568356	0.9984822
ENSMUSG00000000088	414.5441	-0.0008184613	0.013896498	0.2552257	0.9984822
ENSMUSG00000000093	8.240932	-0.0003756524	0.023059795	0.5151898	0.9984822
ENSMUSG00000000094	5.8764	-0.002820778	0.081846255	0.1219888	0.9805731
ENSMUSG00000000120	31.83465	0.0008191341	0.025468107	0.2211881	0.9930713
ENSMUSG00000000125	20.44419	-0.0003885823	0.015890396	0.4898228	0.9984822
ENSMUSG00000000126	4.504459	-0.0002504221	0.027830503	0.7079004	0.9984822
ENSMUSG00000000127	241.9354	-0.0002292072	0.010455394	0.692948	0.9984822
ENSMUSG00000000131	770.8857	-9.565229e-05	0.008718439	0.8650739	0.9984822
ENSMUSG00000000134	173.6207	0.0005774935	0.012467542	0.3756468	0.9984822
ENSMUSG00000000142	172.6198	1.320234e-05	0.009950368	0.9813389	0.9994695
ENSMUSG00000000148	159.3506	-0.001300438	0.017858993	0.1355072	0.9805731
ENSMUSG00000000149	707.6252	0.0001376304	0.00955961	0.8083402	0.9984822
ENSMUSG00000000154	2.778243	-0.0007585835	0.037440471	0.3660082	0.9984822
ENSMUSG00000000159	2.111994	-0.001044587	0.051173835	0.3610793	0.9984822
ENSMUSG00000000167	11.88469	9.445691e-05	0.017082882	0.8509902	0.9984822
ENSMUSG00000000168	589.7291	-9.604437e-05	0.008575002	0.8646606	0.9984822
ENSMUSG00000000171	375.0576	-0.0002716335	0.009920122	0.6413705	0.9984822
ENSMUSG00000000182	2.184226	-0.0005649546	0.039633577	0.5381719	0.9984822
ENSMUSG00000000184	286.1731	0.000295757	0.013450265	0.6094464	0.9984822
ENSMUSG00000000194	334.2538	-0.0001856533	0.008838264	0.7447196	0.9984822
ENSMUSG00000000197	1507.643	0.0008124601	0.010202503	0.2497371	0.9984822
ENSMUSG00000000202	77.53252	0.0003105872	0.013751099	0.5908044	0.9984822
ENSMUSG00000000204	0.1724258	-0.0002984126	0.099681982	0.8967343	NA
ENSMUSG00000000214	73.73327	0.00034123	0.017219118	0.525903	0.9984822
ENSMUSG00000000215	0.1383401	-0.0004612963	0.100790608	0.8421321	NA
ENSMUSG00000000216	2.073101	0.001148175	0.060220648	0.4041997	0.9984822
ENSMUSG00000000223	600.9473	0.0005405739	0.011376581	0.3979865	0.9984822
ENSMUSG00000000244	0.8194156	-0.001593327	0.082362408	0.404752	NA
ENSMUSG00000000247	88.62174	-0.03308126	0.143168456	0.0008029501	0.1835881
ENSMUSG00000000248	0.08201642	-0.000348052	0.100537027	0.8803288	NA
ENSMUSG00000000253	268.2476	0.002558718	0.027683199	0.04440466	0.8542043
ENSMUSG00000000263	4.595673	0.0006131176	0.036707981	0.4637457	0.9984822
ENSMUSG00000000266	411.6059	-4.181882e-05	0.009412894	0.9406948	0.9984822
ENSMUSG00000000275	57.95336	-0.00124721	0.024338762	0.1150856	0.9805731
ENSMUSG00000000276	745.2541	-0.0002449385	0.008867176	0.6714539	0.9984822
ENSMUSG00000000278	67.9728	0.002142999	0.024678446	0.06015067	0.9078976
ENSMUSG00000000282	117.1498	-0.0006984247	0.01783257	0.2734275	0.9984822
ENSMUSG00000000290	34.72889	-0.0001664043	0.014135002	0.7599461	0.9984822
ENSMUSG00000000295	78.22517	7.509455e-05	0.011080921	0.8951082	0.9984822
ENSMUSG00000000296	102.3275	0.0005375502	0.013966008	0.3971784	0.9984822
ENSMUSG00000000301	6.105228	0.0001378795	0.022262576	0.805356	0.9984822
ENSMUSG00000000303	2.996387	0.001439464	0.060004777	0.2770451	0.9984822
ENSMUSG00000000305	377.8745	-0.0003512406	0.010417191	0.5567183	0.9984822
ENSMUSG00000000308	844.2346	0.0003831437	0.011512321	0.5282289	0.9984822
ENSMUSG00000000317	6.959609	0.007674326	0.115667712	0.01862992	0.675198
ENSMUSG00000000318	1.271121	-0.0001979585	0.050106565	0.873644	NA
ENSMUSG00000000320	4.174323	0.0006251361	0.035610527	0.4400113	0.9984822
ENSMUSG00000000325	170.0177	0.0003464419	0.011397214	0.5640739	0.9984822
ENSMUSG00000000326	400.2826	0.0008569	0.015225492	0.2391599	0.9984822
ENSMUSG00000000339	191.9653	-0.002153991	0.024945871	0.05909497	0.9045668
ENSMUSG00000000340	141.543	0.000313773	0.011857606	0.5980214	0.9984822
ENSMUSG00000000346	424.3486	-2.672334e-05	0.009076072	0.9619784	0.9984822
ENSMUSG00000000355	145.4322	-0.0003215286	0.012581743	0.5879463	0.9984822
ENSMUSG00000000359	2.437723	-0.0009395275	0.050448857	0.4106548	0.9984822
ENSMUSG00000000365	11.63867	-0.0005159335	0.021201518	0.3726546	0.9984822
ENSMUSG00000000374	884.361	-0.0003468145	0.008281332	0.5647516	0.9984822
ENSMUSG00000000378	280.5299	-0.0003666379	0.012629246	0.5426859	0.9984822
ENSMUSG00000000384	116.58	-0.0007065322	0.014351148	0.3015312	0.9984822
ENSMUSG00000000386	1.237021	0.0001093686	0.044943484	0.9217681	NA
ENSMUSG00000000392	3.100807	-0.0005437718	0.029383532	0.4268704	0.9984822
ENSMUSG00000000399	477.7692	0.0004235498	0.010924998	0.4896139	0.9984822
ENSMUSG00000000402	8.90814	-0.00906178	0.128548585	0.01592864	0.6592397
ENSMUSG00000000409	11.09896	0.003640218	0.070961485	0.03919442	0.8328476
